STATUS | wrapper  | 2025/02/27 23:21:05 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2025/02/27 23:21:05 | Java Service Wrapper Standard Edition 64-bit 3.5.42
STATUS | wrapper  | 2025/02/27 23:21:05 |   Copyright (C) 1999-2020 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2025/02/27 23:21:05 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2025/02/27 23:21:05 |   Licensed to Inductive Automation for Inductive Automation
STATUS | wrapper  | 2025/02/27 23:21:05 | 
STATUS | wrapper  | 2025/02/27 23:21:05 | Launching a JVM...
INFO   | jvm 1    | 2025/02/27 23:21:06 | WrapperManager: Initializing...
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.CompositeClassRejectListFilter] [23:21:07.047]: Initialization performed successfully 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.CompositeClassRejectListFilter] [23:21:07.050]: JVM-wide ObjectInputFilter set up successfully 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.CompositeClassRejectListFilter] [23:21:07.050]: Platform serialFilter has 88 pattern(s) 
INFO   | jvm 1    | 2025/02/27 23:21:07 | W [WebResourceManagerImpl        ] [23:21:07.077]: Unable to read "gateway.metroKeystoreAlias" gateway.xml property. Assuming metro keystore alias is: metro-key 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.369]: Starting setup 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.379]: gateway.forceSecureRedirect property is not set. Defaulting to false 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.415]: gateway.includedCipherSuites property is not set. Defaulting to [] 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.430]: gateway.excludedCipherSuites property is not set. Defaulting to [] 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.442]: gateway.publicAddress.autoDetect property is not set. Defaulting to true 
INFO   | jvm 1    | 2025/02/27 23:21:07 | I [g.WebServerManager            ] [23:21:07.456]: gateway.publicAddress.address property is not set. Defaulting to  
